Member_number,without pattern
1753,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1754,"['other vegetables', 'tropical fruit', 'bottled water', 'citrus fruit', 'pastry']"
1755,"['whole milk', 'rolls/buns', 'soda', 'shopping bags', 'pork']"
1756,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'whipped/sour cream']"
1757,"['other vegetables', 'yogurt', 'root vegetables', 'citrus fruit', 'whipped/sour cream']"
1758,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1759,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1760,"['soda', 'sausage', 'fruit/vegetable juice', 'curd', 'margarine']"
1761,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1762,"['other vegetables', 'citrus fruit', 'shopping bags', 'bottled beer', 'newspapers']"
1763,"['soda', 'pastry', 'frankfurter', 'domestic eggs', 'pork']"
1764,"['whole milk', 'soda', 'yogurt', 'bottled water', 'sausage']"
1765,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1766,"['tropical fruit', 'canned beer', 'domestic eggs', 'napkins', 'specialty chocolate']"
1767,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1768,"['whole milk', 'rolls/buns', 'soda', 'tropical fruit', 'citrus fruit']"
1769,"['rolls/buns', 'bottled beer', 'canned beer', 'frankfurter', 'butter']"
1770,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'bottled water']"
1771,"['other vegetables', 'soda', 'bottled water', 'frankfurter', 'cream cheese ']"
1772,"['whole milk', 'rolls/buns', 'yogurt', 'sausage', 'shopping bags']"
1773,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'bottled water']"
1774,"['other vegetables', 'rolls/buns', 'root vegetables', 'shopping bags', 'bottled beer']"
1775,"['tropical fruit', 'bottled water']"
1776,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1777,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1778,"['whole milk', 'root vegetables', 'tropical fruit', 'bottled water', 'pastry']"
1779,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1780,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1781,"['yogurt', 'tropical fruit', 'bottled water', 'sausage', 'shopping bags']"
1782,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'newspapers']"
1783,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1784,"['whole milk', 'other vegetables', 'rolls/buns', 'citrus fruit', 'pip fruit']"
1785,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1786,"['whole milk', 'soda', 'yogurt', 'citrus fruit', 'pastry']"
1787,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'bottled water']"
1788,"['whole milk', 'yogurt', 'bottled water', 'sausage', 'citrus fruit']"
1789,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1790,"['whole milk', 'other vegetables', 'root vegetables', 'sausage', 'shopping bags']"
1791,"['tropical fruit', 'bottled water', 'bottled beer', 'domestic eggs', 'sliced cheese']"
1792,"['whole milk', 'other vegetables', 'tropical fruit', 'bottled water', 'sausage']"
1793,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1794,"['soda', 'yogurt', 'pip fruit', 'bottled beer', 'beef']"
1795,"['root vegetables', 'bottled water', 'pork', 'beef', 'napkins']"
1796,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1797,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'bottled water']"
1798,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1799,"['whole milk', 'yogurt', 'tropical fruit', 'pastry', 'bottled beer']"
1800,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'whipped/sour cream']"
1801,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1803,"['rolls/buns', 'soda', 'yogurt', 'root vegetables', 'citrus fruit']"
1804,"['whole milk', 'other vegetables', 'root vegetables', 'sausage', 'newspapers']"
1805,"['other vegetables', 'rolls/buns', 'soda', 'sausage', 'citrus fruit']"
1806,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'bottled water']"
1807,"['other vegetables', 'soda', 'root vegetables', 'canned beer', 'whipped/sour cream']"
1808,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1809,"['other vegetables', 'soda', 'root vegetables', 'frankfurter', 'hamburger meat']"
1810,"['whole milk', 'other vegetables', 'root vegetables', 'tropical fruit', 'bottled water']"
1811,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'bottled water']"
1812,"['other vegetables', 'yogurt', 'bottled water', 'sausage', 'butter']"
1813,"['canned beer', 'brown bread', 'coffee', 'chocolate']"
1814,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1815,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1816,"['soda', 'tropical fruit', 'canned beer', 'brown bread', 'coffee']"
1817,"['whole milk', 'other vegetables', 'soda', 'tropical fruit', 'citrus fruit']"
1818,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1819,"['rolls/buns', 'soda', 'root vegetables', 'tropical fruit', 'sausage']"
1820,"['rolls/buns', 'soda', 'root vegetables', 'sausage', 'citrus fruit']"
1821,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'tropical fruit']"
1822,"['rolls/buns', 'soda', 'yogurt', 'root vegetables', 'tropical fruit']"
1823,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'bottled water']"
1824,"['soda', 'yogurt', 'citrus fruit', 'bottled beer', 'canned beer']"
1825,"['whole milk', 'other vegetables', 'root vegetables', 'sausage', 'pastry']"
1826,"['rolls/buns', 'soda', 'sausage', 'napkins', 'semi-finished bread']"
1827,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1828,"['other vegetables', 'rolls/buns', 'root vegetables', 'tropical fruit', 'sausage']"
1829,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'pip fruit']"
1830,"['other vegetables', 'bottled water', 'citrus fruit', 'canned beer', 'frozen vegetables']"
1831,"['whole milk', 'other vegetables', 'tropical fruit', 'bottled water', 'citrus fruit']"
1832,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1833,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
1834,"['other vegetables', 'root vegetables', 'sausage', 'citrus fruit', 'pastry']"
1835,"['whole milk', 'rolls/buns', 'root vegetables', 'tropical fruit', 'sausage']"
1836,"['soda', 'yogurt', 'citrus fruit', 'pip fruit', 'bottled beer']"
1837,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'tropical fruit']"
1838,"['whole milk', 'other vegetables', 'yogurt', 'tropical fruit', 'canned beer']"
1839,"['tropical fruit', 'bottled water', 'pastry', 'shopping bags', 'domestic eggs']"
1840,"['brown bread', 'misc. beverages', 'instant coffee']"
1841,"['whole milk', 'rolls/buns', 'pip fruit', 'frankfurter', 'margarine']"
1842,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1843,"['other vegetables', 'soda', 'yogurt', 'root vegetables', 'tropical fruit']"
1844,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'bottled water']"
1845,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1846,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1847,"['whole milk', 'rolls/buns', 'root vegetables', 'sausage', 'canned beer']"
1848,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
1849,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1850,"['whole milk', 'soda', 'yogurt', 'tropical fruit', 'bottled beer']"
1851,"['whole milk', 'root vegetables', 'frankfurter', 'fruit/vegetable juice', 'berries']"
1852,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1853,"['whole milk', 'other vegetables', 'yogurt', 'tropical fruit', 'sausage']"
1854,"['soda', 'tropical fruit', 'bottled water', 'sausage', 'shopping bags']"
1855,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'tropical fruit']"
1856,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1857,"['other vegetables', 'soda', 'sausage', 'pip fruit', 'frankfurter']"
1858,"['whole milk', 'other vegetables', 'pastry', 'frankfurter', 'domestic eggs']"
1859,"['whole milk', 'soda', 'root vegetables', 'tropical fruit', 'bottled water']"
1860,"['other vegetables', 'rolls/buns', 'soda', 'sausage', 'chicken']"
1861,"['other vegetables', 'bottled water', 'citrus fruit', 'beef', 'ham']"
1862,"['other vegetables', 'rolls/buns', 'soda', 'tropical fruit', 'bottled water']"
1863,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1864,"['whole milk', 'yogurt', 'root vegetables', 'shopping bags', 'canned beer']"
1865,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1866,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1867,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1868,"['whole milk', 'soda', 'yogurt', 'bottled beer', 'newspapers']"
1869,"['soda', 'yogurt', 'root vegetables', 'tropical fruit', 'sausage']"
1870,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1871,"['tropical fruit', 'bottled water']"
1872,"['whole milk', 'other vegetables', 'yogurt', 'tropical fruit', 'bottled water']"
1873,"['whole milk', 'other vegetables', 'yogurt', 'sausage', 'pastry']"
1874,"['whole milk', 'soda', 'yogurt', 'citrus fruit', 'pastry']"
1875,"['whole milk', 'yogurt', 'bottled water', 'sausage', 'pastry']"
1876,"['tropical fruit', 'margarine', 'napkins', 'frozen meals']"
1877,"['whole milk', 'rolls/buns', 'soda', 'bottled water', 'sausage']"
1878,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1879,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1880,"['other vegetables', 'citrus fruit', 'bottled beer', 'frankfurter', 'frozen meals']"
1881,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1882,"['other vegetables', 'soda', 'root vegetables', 'tropical fruit', 'fruit/vegetable juice']"
1883,"['whole milk', 'pastry', 'pip fruit', 'domestic eggs', 'pork']"
1884,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1885,"['whole milk', 'other vegetables', 'soda', 'bottled water', 'sausage']"
1886,['rolls/buns']
1887,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1888,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'bottled water']"
1889,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1890,"['whole milk', 'rolls/buns', 'bottled water', 'shopping bags', 'pork']"
1891,"['whole milk', 'rolls/buns', 'root vegetables', 'bottled water', 'coffee']"
1892,"['other vegetables', 'soda', 'yogurt', 'bottled water', 'citrus fruit']"
1893,"['whole milk', 'other vegetables', 'root vegetables', 'tropical fruit', 'bottled water']"
1894,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1895,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1896,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1897,"['rolls/buns', 'soda', 'root vegetables', 'sausage', 'citrus fruit']"
1898,"['other vegetables', 'bottled water', 'whipped/sour cream', 'sugar', 'hygiene articles']"
1899,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1900,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1901,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1902,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1903,"['rolls/buns', 'yogurt', 'tropical fruit', 'sausage', 'pip fruit']"
1904,"['whole milk', 'soda', 'yogurt', 'citrus fruit', 'pip fruit']"
1905,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1907,"['rolls/buns', 'soda', 'yogurt', 'bottled water', 'sausage']"
1908,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1909,"['whole milk', 'yogurt', 'sausage', 'brown bread', 'domestic eggs']"
1910,"['other vegetables', 'soda', 'yogurt', 'pastry', 'frankfurter']"
1911,"['soda', 'tropical fruit', 'shopping bags', 'canned beer', 'newspapers']"
1912,"['bottled water', 'sausage', 'pip fruit', 'pork', 'beef']"
1913,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1914,"['other vegetables', 'rolls/buns', 'root vegetables', 'sausage', 'canned beer']"
1915,"['soda', 'yogurt', 'tropical fruit', 'brown bread', 'coffee']"
1916,"['rolls/buns', 'citrus fruit', 'pip fruit', 'newspapers', 'frankfurter']"
1917,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'bottled water']"
1918,"['tropical fruit', 'beef']"
1919,"['whole milk', 'bottled beer', 'beef', 'white wine', 'soft cheese']"
1920,"['whole milk', 'rolls/buns', 'citrus fruit', 'specialty bar', 'flour']"
1921,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1922,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1923,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'tropical fruit']"
1924,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1925,"['whipped/sour cream', 'brown bread', 'chocolate']"
1926,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'bottled beer']"
1927,"['other vegetables', 'yogurt', 'tropical fruit', 'pastry', 'pip fruit']"
1928,"['whole milk', 'other vegetables', 'soda', 'bottled water', 'citrus fruit']"
1929,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1930,"['whole milk', 'soda', 'yogurt', 'tropical fruit', 'bottled water']"
1931,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1932,"['whole milk', 'other vegetables', 'yogurt', 'tropical fruit', 'bottled water']"
1933,"['rolls/buns', 'yogurt', 'white bread', 'salty snack', 'pickled vegetables']"
1934,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1935,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
1936,"['other vegetables', 'rolls/buns', 'soda', 'root vegetables', 'newspapers']"
1937,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'citrus fruit']"
1938,"['whole milk', 'other vegetables', 'root vegetables', 'tropical fruit', 'bottled water']"
1939,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'bottled water']"
1940,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'newspapers']"
1941,"['whole milk', 'rolls/buns', 'bottled beer', 'napkins', 'abrasive cleaner']"
1942,"['beef', 'onions', 'prosecco']"
1943,"['whole milk', 'rolls/buns', 'yogurt', 'tropical fruit', 'bottled water']"
1945,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1946,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1947,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1948,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1949,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1950,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1951,"['whole milk', 'rolls/buns', 'yogurt', 'sausage', 'bottled beer']"
1952,"['whole milk', 'tropical fruit', 'citrus fruit', 'pastry', 'bottled beer']"
1953,"['whole milk', 'soda', 'yogurt', 'root vegetables', 'sausage']"
1954,"['whole milk', 'rolls/buns', 'soda', 'shopping bags', 'bottled beer']"
1955,"['rolls/buns', 'soda', 'sausage', 'chicken', 'napkins']"
1956,"['whole milk', 'other vegetables', 'yogurt', 'tropical fruit', 'pip fruit']"
1957,"['whole milk', 'root vegetables', 'berries', 'beverages']"
1958,"['whole milk', 'other vegetables', 'root vegetables', 'bottled water', 'sausage']"
1959,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1960,"['other vegetables', 'rolls/buns', 'pastry', 'fruit/vegetable juice', 'long life bakery product']"
1961,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
1962,"['other vegetables', 'rolls/buns', 'soda', 'sausage', 'citrus fruit']"
1964,"['other vegetables', 'soda', 'yogurt', 'root vegetables', 'citrus fruit']"
1965,"['whole milk', 'other vegetables', 'soda', 'whipped/sour cream', 'newspapers']"
1966,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1967,"['whole milk', 'other vegetables', 'soda', 'bottled water', 'citrus fruit']"
1968,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1969,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'bottled water']"
1970,"['whole milk', 'rolls/buns', 'root vegetables', 'citrus fruit', 'pastry']"
1971,"['whole milk', 'other vegetables', 'rolls/buns', 'sausage', 'pastry']"
1972,"['rolls/buns', 'soda', 'tropical fruit', 'bottled water', 'pip fruit']"
1973,"['bottled beer', 'beef', 'cream cheese ', 'onions', 'soft cheese']"
1974,"['whole milk', 'soda', 'whipped/sour cream', 'margarine', 'hamburger meat']"
1975,"['rolls/buns', 'soda', 'yogurt', 'root vegetables', 'shopping bags']"
1976,"['whole milk', 'other vegetables', 'rolls/buns', 'bottled water', 'pork']"
1977,"['whole milk', 'other vegetables', 'canned beer', 'brown bread', 'margarine']"
1978,"['other vegetables', 'yogurt', 'brown bread', 'beef', 'napkins']"
1979,"['whole milk', 'yogurt', 'bottled water', 'pastry', 'brown bread']"
1980,"['whole milk', 'rolls/buns', 'yogurt', 'citrus fruit', 'pip fruit']"
1981,"['whole milk', 'tropical fruit', 'bottled water', 'domestic eggs', 'beef']"
1982,"['butter', 'coffee', 'frozen fruits']"
1983,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1985,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'bottled water']"
1987,"['whole milk', 'rolls/buns', 'yogurt', 'tropical fruit', 'citrus fruit']"
1988,"['tropical fruit', 'bottled water', 'pip fruit', 'bottled beer', 'whipped/sour cream']"
1989,"['soda', 'citrus fruit', 'canned beer', 'mustard']"
1990,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1991,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
1992,"['other vegetables', 'rolls/buns', 'pastry', 'pip fruit', 'shopping bags']"
1993,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'sausage']"
1994,"['whole milk', 'rolls/buns', 'soda', 'tropical fruit', 'bottled water']"
1995,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1996,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1997,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'bottled water']"
1998,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1999,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2000,"['bottled beer', 'whipped/sour cream', 'pork', 'fruit/vegetable juice', 'oil']"
2001,"['other vegetables', 'rolls/buns', 'root vegetables', 'tropical fruit', 'bottled water']"
2002,"['other vegetables', 'bottled beer', 'pork', 'frozen vegetables', 'liquor']"
2003,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
2004,"['other vegetables', 'yogurt', 'tropical fruit', 'sausage', 'pastry']"
2005,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'pip fruit']"
2006,"['onions', 'chewing gum', 'white wine', 'soft cheese', 'frozen potato products']"
2007,"['whole milk', 'root vegetables', 'tropical fruit', 'bottled beer', 'whipped/sour cream']"
2008,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'tropical fruit']"
2009,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
2010,"['other vegetables', 'soda', 'yogurt', 'bottled water', 'citrus fruit']"
2011,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2012,"['other vegetables', 'rolls/buns', 'domestic eggs', 'cling film/bags']"
2013,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'pastry']"
2014,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'bottled water']"
2015,"['pork', 'frozen vegetables']"
2016,"['other vegetables', 'root vegetables', 'tropical fruit', 'pip fruit', 'whipped/sour cream']"
2017,"['whole milk', 'other vegetables', 'yogurt', 'tropical fruit', 'bottled water']"
2018,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
2019,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2020,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'sausage']"
2021,"['citrus fruit', 'curd', 'meat']"
2022,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
2023,"['other vegetables', 'soda', 'bottled water', 'citrus fruit', 'shopping bags']"
2024,"['whole milk', 'other vegetables', 'yogurt', 'canned beer', 'whipped/sour cream']"
2025,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2026,"['other vegetables', 'yogurt', 'root vegetables', 'tropical fruit', 'canned beer']"
2027,"['other vegetables', 'rolls/buns', 'domestic eggs', 'coffee', 'cling film/bags']"
2028,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
2029,"['rolls/buns', 'soda', 'yogurt', 'tropical fruit', 'bottled water']"
2030,"['soda', 'tropical fruit', 'shopping bags', 'newspapers', 'pork']"
2031,"['whole milk', 'rolls/buns', 'bottled water', 'sausage', 'pip fruit']"
2032,"['other vegetables', 'soda', 'pastry', 'bottled beer', 'whipped/sour cream']"
2033,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
2034,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2035,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
2036,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'whipped/sour cream']"
2037,"['soda', 'bottled water', 'sausage', 'citrus fruit', 'pastry']"
2038,"['whole milk', 'rolls/buns', 'soda', 'pastry', 'pip fruit']"
2039,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'bottled water']"
2040,"['other vegetables', 'rolls/buns', 'yogurt', 'root vegetables', 'bottled water']"
2041,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2042,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2043,"['other vegetables', 'rolls/buns', 'soda', 'tropical fruit', 'bottled water']"
2044,"['whole milk', 'rolls/buns', 'root vegetables', 'bottled water', 'pastry']"
2045,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'tropical fruit']"
2046,"['other vegetables', 'soda', 'yogurt', 'bottled water', 'pastry']"
2047,"['soda', 'yogurt', 'tropical fruit', 'bottled water', 'sausage']"
2048,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
2049,"['other vegetables', 'tropical fruit', 'whipped/sour cream', 'pork', 'dental care']"
2050,"['rolls/buns', 'shopping bags', 'bottled beer', 'whipped/sour cream', 'brown bread']"
2051,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
2053,"['rolls/buns', 'citrus fruit', 'coffee', 'cream cheese ', 'candy']"
2054,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2055,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
2056,"['whole milk', 'soda', 'root vegetables', 'bottled water', 'citrus fruit']"
2057,"['whole milk', 'soda', 'tropical fruit', 'citrus fruit', 'butter']"
2058,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2059,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2060,"['other vegetables', 'pip fruit', 'canned beer', 'brown bread', 'chicken']"
2061,"['whole milk', 'soda', 'yogurt', 'tropical fruit', 'bottled water']"
2062,"['whole milk', 'rolls/buns', 'bottled beer', 'whipped/sour cream', 'domestic eggs']"
2063,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2064,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'bottled water']"
2065,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
2066,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'pip fruit']"
2067,"['whole milk', 'yogurt', 'root vegetables', 'bottled water', 'sausage']"
2068,"['whole milk', 'rolls/buns', 'yogurt', 'bottled water', 'sausage']"
2069,"['whole milk', 'other vegetables', 'citrus fruit', 'bottled beer', 'brown bread']"
2070,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2071,"['whole milk', 'other vegetables', 'citrus fruit', 'pastry', 'pip fruit']"
2072,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'bottled water']"
2073,"['whole milk', 'rolls/buns', 'yogurt', 'tropical fruit', 'pastry']"
2074,"['whole milk', 'other vegetables', 'bottled water', 'sausage', 'citrus fruit']"
2075,"['other vegetables', 'soda', 'root vegetables', 'sausage', 'citrus fruit']"
2076,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'shopping bags']"
2077,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2078,"['whole milk', 'soda', 'tropical fruit', 'pip fruit', 'shopping bags']"
2079,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'sausage']"
2080,"['whole milk', 'other vegetables', 'canned beer', 'brown bread', 'margarine']"
2081,"['yogurt', 'pip fruit', 'shopping bags', 'whipped/sour cream', 'brown bread']"
2082,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'bottled water']"
2083,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
2084,"['whole milk', 'root vegetables', 'berries', 'beverages']"
2085,"['whole milk', 'soda', 'bottled water', 'pip fruit', 'domestic eggs']"
2086,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'tropical fruit']"
2087,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
2088,"['soda', 'yogurt', 'tropical fruit', 'pastry', 'newspapers']"
2089,"['whole milk', 'other vegetables', 'soda', 'tropical fruit', 'sausage']"
2091,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'sausage']"
2092,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
2093,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
2094,"['whole milk', 'other vegetables', 'bottled water', 'waffles', 'red/blush wine']"
2095,"['whole milk', 'sausage', 'pastry', 'pip fruit', 'shopping bags']"
2096,"['rolls/buns', 'soda', 'sausage', 'napkins', 'semi-finished bread']"
2097,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
2098,"['whole milk', 'other vegetables', 'yogurt', 'tropical fruit', 'pastry']"
